PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39764674,Technological advances in clinical individualized medication for cancer therapy: from genes to whole organism.,2025 Jan 7,"Kai J, Liu X, Wu M, Liu P, Lin M, Yang H, Zhao Q","N, /, A",N/A
39764669,Effects of miRNAs in inborn error of metabolism and treatment strategies.,2025 Jan 7,"Bayrak H, Sharafi P, Özketen AÇ, Kılıç M","N, /, A",N/A
39764565,Sarcopenia and cachexia: molecular mechanisms and therapeutic interventions.,2025 Jan,"Wang T, Zhou D, Hong Z","N, /, A",N/A
39764561,Multiorgan proteomic analysis of infected animal models predict potential host factors for chikungunya virus.,2025 Jan,"Lin D, Tang C, Wang J, Yang Y, Yang H, Zhou Y, Yu W, Li B, Huang Q, Wang H, An R, Liang X, Yan Y, Yuan L, Du X, Yuan Y, Li Y, Lu S","N, /, A",N/A
39764560,Prolyl 4-hydroxylase α-subunit family regulation of type I collagen deposition and IL17RB/c-Jun activation synergistically mediate choline dehydrogenase promotion of colorectal cancer metastasis.,2025 Jan,"Yang X, Li Y, Shen X, Wang S, Zhang Z, Du W, Yang C, Jiang X, Zhang X, Huang Y, Shen W","N, /, A",N/A
39764338,Successful Management of Disseminated Intravascular Coagulation in Metastatic Castrate-Resistant Prostate Cancer With Lutetium-177: A Case Report and Review of the Literature.,2024 Dec,"Zheng J, Ibezue C, Nguyen N, Cai Q, Qin Q, Wang J","N, /, A",N/A
39764316,Prolonged Severe CD4+ Lymphocytopenia and Hypogammaglobulinemia in Patients With Evans' Syndrome: A Case Report.,2024 Dec,"Kurokawa T, Imoto N, Muramatsu H, Shingo K","N, /, A",N/A
39764277,The right drug for the right patient at the right time with the right test in differentiated thyroid cancer (DTC).,2024 Dec,"de Biase D, Repaci A, Nigro MC, Maloberti T, Carosi F, Pantaleo MA, Tallini G, Nannini M","N, /, A",N/A
39764154,"Exploring the role of noncoding RNAs in cancer diagnosis, prognosis, and precision medicine.",2024 Dec,"Eldakhakhny B, Sutaih AM, Siddiqui MA, Aqeeli YM, Awan AZ, Alsayegh MY, Elsamanoudy SA, Elsamanoudy A","N, /, A",N/A
39764127,Integration of RNA Editing with Multiomics Data Improves Machine Learning Models for Predicting Drug Responses in Breast Cancer Patients.,2024 Dec 17,"Bernal YA, Blanco A, Oróstica K, Delgado I, Armisén R","N, /, A",N/A
39764089,Pharmacogenomic associations with HIV-1 virologic suppression in TB/HIV patients.,2024 Dec 16,"Ridolfi F, Amorim G, Haas DW, Arriaga M, Staats C, Cordeiro-Santos M, Kritski AL, Figueiredo MC, Andrade BB, Sterling TR, Rolla VC, RePORT-Brazil RPORIT","N, /, A",N/A
39764042,Estrogens increase cancer cell efferocytosis to establish an immunosuppressive tumor microenvironment.,2024 Dec 26,"Chakraborty B, Chakraborty P, Brown MC, Crowder D, Goyal A, Safi R, Artham S, Kirkland M, Racioppi A, Juras P, Mukherjee D, Lim F, Byemerwa J, Gunn K, Floyd SR, Beasley G, Wardell S, Chang CY, McDonnell DP","N, /, A",N/A
39764031,Computational Modeling of Effects of PKP2 Gene Therapy on Ventricular Conduction Properties in Arrhythmogenic Cardiomyopathy.,2024 Dec 17,"Ostini A, Kléber AG, Rudy Y, Saffitz JE, Kucera JP","N, /, A",N/A
39763963,HIV-SEQ Reveals Global Host Gene Expression Differences Between HIV-Transcribing Cells from Viremic and Suppressed People with HIV.,2024 Dec 20,"Frouard J, Telwatte S, Luo X, Elphick N, Thomas R, Arneson D, Roychoudhury P, Butte AJ, Wong JK, Hoh R, Deeks SG, Lee SA, Roan NR, Yukl S","N, /, A",N/A
39763958,CD24-Fc resolves inflammation and rescues CD8 T cells with polyfunctionality in humanized mice infected with HIV-1 under cART.,2024 Dec 19,"Li G, Ma J, Yu H, Tsahouridis O, Lou Y, He X, Funaki M, Mathur P, Kottilil S, Zheng P, Liu Y, Su L","N, /, A",N/A
39763898,Cellular cartography reveals mouse prostate organization and determinants of castration resistance.,2024 Dec 27,"Cho H, Zhang Y, Tien JC, Mannan R, Luo J, Narayanan SP, Mahapatra S, Hu J, Shelley G, Cruz G, Shahine M, Wang L, Su F, Wang R, Cao X, Dhanasekaran SM, Keller ET, Pitchiaya S, Chinnaiyan AM","N, /, A",N/A
39763722,Neonatal systemic gene therapy restores cardiorespiratory function in a rat model of Pompe disease.,2024 Dec 16,"Fuller DD, Rana S, Thakre P, Benevides E, Pope M, Todd AG, Jensen VN, Vaught L, Cloutier D, Ribas RA, Larson RC, Gentry MS, Sun RC, Chandran V, Corti M, Falk DJ, Byrne BJ","N, /, A",N/A
39763602,Penpulimab and Anlotinib in PDL1 high-expression pulmonary giant cell carcinoma with cerebral metastases: case report and review.,2024,"Xie M, Zhao Y, Hou X, Li N, Niu S, Xu X","N, /, A",N/A
39763574,Longitudinal profiles of oral microbiome in patients with nasopharyngeal carcinoma and their prognostic implications.,2025,"Zhou T, Wu YX, Zheng XH, Li XZ, Xue WQ, Wang TM, He YQ, Zhou SH, Du Y, Xie JR, Chen YW, Lu LX, Liao Y, Jia WH","N, /, A",N/A
39763502,Anti-gene oligonucleotide clamps invade dsDNA and downregulate huntingtin expression.,2024 Dec 10,"Umek T, Lundin KE, Mowoe MO, Hao Y, Roudi S, Žura L, Jørgensen PT, Lou C, Hagey DW, Wengel J, Smith CIE, Zain R","N, /, A",N/A
